dest airp.,ESSA,ESPA,ESMS,ESGG,ESTA,ESNZ,ESNX,ESSU,ESNG,ESSK
ESSA,0,689.1885844,531.4185054,393.8622697,477.9202972,433.6997964,663.9496615,76.04447849,843.975814,117.5889251
ESPA,689.1885844,0,1208.57229,1016.617284,1141.223647,449.6878743,130.7168277,742.121676,186.0204398,608.4899002
ESMS,531.4185054,1208.57229,0,245.7864853,90.69009072,853.8861393,1162.375744,468.5712884,1346.821487,600.1282379
ESGG,393.8622697,1016.617284,245.7864853,0,155.8078479,626.9433588,954.6424957,318.3580287,1138.658079,420.7782865
ESTA,477.9202972,1141.223647,90.69009072,155.8078479,0,772.5614378,1088.981055,409.3340021,1273.55231,533.9493823
ESNZ,433.6997964,449.6878743,853.8861393,626.9433588,772.5614378,0,351.6391548,443.2839671,527.3810821,316.3946117
ESNX,663.9496615,130.7168277,1162.375744,954.6424957,1088.981055,351.6391548,0,706.1135364,184.5754434,567.7844829
ESSU,76.04447849,742.121676,468.5712884,318.3580287,409.3340021,443.2839671,706.1135364,0,888.8496368,138.7862142
ESNG,843.975814,186.0204398,1346.821487,1138.658079,1273.55231,527.3810821,184.5754434,888.8496368,0,750.9799899
ESSK,117.5889251,608.4899002,600.1282379,420.7782865,533.9493823,316.3946117,567.7844829,138.7862142,750.9799899,0
