City Name,ICAO Code,Latitude (deg),Longitude (deg),Runway (m),Population
Stockholm,ESSA,59.65190125,17.91860008,3301,975551
Luleå,ESPA,65.54380035,22.12199974,3350,48728
Malmö,ESMS,55.53630536,13.37619781,2800,344166
Gothenburg,ESGG,57.66279984,12.27980042,3299,579281
Ängelholm-Helsingborg,ESTA,56.29610062,12.84710026,1945,136208
Åre Östersund,ESNZ,63.19440079,14.50030041,2500,50444
Arvidsjaur,ESNX,65.59030151,19.28190041,2500,1869
Eskilstuna,ESSU,59.35110092,16.70840073,1886,111923
Gällivare,ESNG,67.13240051,20.81459999,1714,14859
Gävle,ESSK,60.59329987,16.95140076,2000,137485
Gothenburg City,ESGP,57.7747,11.8704,1085,531384
Hagfors,ESOH,60.0201,13.5789,1508,22344
Arboga,ESQO,59.38660049,15.92409992,2000,98857
Arvika,ESKV,59.6759,12.6394,1150,31252
Borås,ESGE,57.695935,12.845002,800,418051
